thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,3,Main,35,1.02002739999989,up,1,90,up,0.333265306122449,0.73,1.845186200000171,2.393458728208789,3.5386586164901184,conf,0.5,10,30,M,R,
,,3,Main,36,0.8788336999996318,up,1,90,up,0.49489795918367346,0.83,1.1597701000000598,3.286750687869513,3.571445218096048,conf,0.5,10,30,M,R,
,,3,Main,37,1.0630098999999973,up,1,90,up,0.29285714285714287,0.71,0.9445063999992271,4.804136321644679,1.2107473408483143,conf,0.5,10,30,M,R,
,,3,Main,38,1.2546309999997902,up,1,90,up,0.030204081632653063,0.68,0.8049096000004283,4.684696329017653,2.5028422889258826,conf,0.5,10,30,M,R,
,,3,Main,39,0.813637799999924,down,1,270,down,0.7373469387755102,0.89,1.7712669999991704,4.395489251337156,1.7465764510520438,conf,0.5,10,30,M,R,
,,3,Main,40,1.2021448000004966,up,1,90,up,0.39387755102040817,0.74,1.459576599999309,3.794481609603936,1.9118988055203938,conf,0.5,10,30,M,R,
,,3,Main,41,0.8379921999994622,up,1,90,up,0.676734693877551,0.77,1.1875356999998985,2.5004965451091254,3.015483010096411,conf,0.5,10,30,M,R,
,,3,Main,42,0.8679530999997951,down,1,270,down,0.7575510204081632,0.81,1.3200500999992073,2.699231095569591,3.840815204336068,conf,0.5,10,30,M,R,
,,3,Main,43,1.3249491000005946,up,0,270,down,0.1716326530612245,0.58,0.9088404999993145,4.701984305746544,1.5840947085726762,conf,0.5,10,30,M,R,
,,3,Main,44,0.8301673000005394,up,1,90,up,0.7979591836734694,0.69,1.4191937000005055,2.195460750347394,3.336146590131243,conf,0.5,10,30,M,R,
,,3,Main,45,0.7459123999997246,down,1,270,down,0.7171428571428571,0.87,1.1657168000001548,4.68252850079279,2.7114380511575478,conf,0.5,10,30,M,R,
,,4,Main,0,0.9771214000002146,down,1,270,down,0.4746938775510204,0.66,1.2220864000000802,2.1053334624733444,2.811415143583488,conf,0.5,10,30,M,R,
,,4,Main,1,1.1871027999995931,down,0,90,up,0.01,0.56,1.3570079999999507,2.4306800728024456,2.0450095359311926,conf,0.5,10,30,M,R,
,,4,Main,2,1.6191866999997728,up,0,270,down,0.13122448979591836,0.6,1.4526058999999805,2.516857242764229,2.071582654456792,conf,0.5,10,30,M,R,
,,4,Main,3,1.3608386999994764,down,1,270,down,0.333265306122449,0.55,1.5853701999994882,2.977711037960085,3.18324731690067,conf,0.5,10,30,M,R,
,,4,Main,4,0.683109699999477,down,1,270,down,0.6161224489795918,0.81,1.205840900000112,4.546598103082296,2.4519206691554185,conf,0.5,10,30,M,R,
,,4,Main,5,0.7463502999999037,up,1,90,up,0.7171428571428571,1.0,1.4972477999999683,4.636019627160774,2.4843441988290627,conf,0.5,10,30,M,R,
,,4,Main,6,0.7320608999998512,down,1,270,down,0.4746938775510204,0.62,0.703801999999996,3.062812253556686,1.438742499157146,conf,0.5,10,30,M,R,
,,4,Main,7,1.4763977000002342,up,0,270,down,0.05040816326530612,0.57,0.8744995999995808,2.5362630474578407,3.6039591292925848,conf,0.5,10,30,M,R,
,,4,Main,8,0.8455781000002389,up,1,90,up,0.4342857142857143,0.54,0.9106658000000607,2.2028452716911806,3.202714565770081,conf,0.5,10,30,M,R,
,,4,Main,9,0.8796996999999465,up,1,90,up,0.4140816326530612,0.86,1.1390456999997696,3.2757240203031355,1.2965689487581498,conf,0.5,10,30,M,R,
,,4,Main,10,0.8519046999999773,up,1,90,up,0.4342857142857143,0.81,1.039426000000276,2.4285672250152834,3.9931707986371903,conf,0.5,10,30,M,R,
,,4,Main,11,0.8033459999996921,down,1,270,down,0.5353061224489796,0.69,0.896452699999827,4.6761417397874645,3.9593533869679614,conf,0.5,10,30,M,R,
,,4,Main,12,0.8239518999998836,up,1,90,up,0.3736734693877551,0.65,0.8427999999994427,2.3313903091888095,3.11001953053849,conf,0.5,10,30,M,R,
,,4,Main,13,1.2755581000001257,down,1,270,down,0.5151020408163265,0.61,1.0400579999995898,3.752894265814051,3.1774289219243483,conf,0.5,10,30,M,R,
,,4,Main,14,0.8756289000002653,up,1,90,up,0.3736734693877551,0.66,0.9054381999994803,4.755734296334939,2.5399194753151098,conf,0.5,10,30,M,R,
,,4,Main,15,1.3091197000003376,up,1,90,up,0.3130612244897959,0.62,1.3718898999995872,2.1869361826005926,2.2575708359417774,conf,0.5,10,30,M,R,
,,4,Main,16,0.8901456000003236,down,1,270,down,0.656530612244898,0.56,1.4288841999996293,3.6633215178287513,3.1408085962426644,conf,0.5,10,30,M,R,
,,4,Main,17,0.8901456000003236,[],0,270,down,0.030204081632653063,None,None,None,1.9173638351295201,None,None,10,30,M,R,
,,4,Main,18,0.8113863999997193,up,1,90,up,0.35346938775510206,0.55,1.0029178000004322,2.4255298916423498,2.4215892940110724,conf,0.5,10,30,M,R,
,,4,Main,19,0.7757525999995778,up,1,90,up,0.4342857142857143,0.71,0.8318885000007867,4.713605816375815,2.592702278588769,conf,0.5,10,30,M,R,
,,4,Main,20,1.6222851000002265,down,0,90,up,0.05040816326530612,0.5,0.8649884000005841,4.676643763162049,3.7018750396568123,conf,0.5,10,30,M,R,
,,4,Main,21,0.8312535999993997,up,1,90,up,0.656530612244898,0.78,0.9499245999995765,3.700532283167717,1.7015456176454529,conf,0.5,10,30,M,R,
,,4,Main,22,1.0485805999996956,up,1,90,up,0.4140816326530612,0.66,1.0420325000004595,4.042224369124098,2.8190478539317265,conf,0.5,10,30,M,R,
,,4,Main,23,1.6470937000003687,up,1,90,up,0.3736734693877551,0.64,2.2918030000000726,2.0728664686238845,1.5875972526806799,conf,0.5,10,30,M,R,
,,4,Main,24,0.7771221000002697,down,1,270,down,0.6363265306122449,0.85,1.115389999999934,3.3975936763167653,2.3873555085453533,conf,0.5,10,30,M,R,
,,4,Main,25,1.194830300000831,down,1,270,down,0.13122448979591836,0.57,1.7693335999992996,4.895882270779208,3.2960341535731574,conf,0.5,10,30,M,R,
,,4,Main,26,1.194830300000831,[],0,270,down,0.19183673469387755,None,None,None,1.3520132397367761,None,None,10,30,M,R,
,,4,Main,27,0.8926391999993939,down,1,270,down,0.19183673469387755,0.56,1.3229553999999553,3.722575342770825,3.739285280386176,conf,0.5,10,30,M,R,
,,4,Main,28,0.9450686999998652,down,1,270,down,0.656530612244898,0.64,2.0250042999996367,4.857894763921027,2.1477871038779974,conf,0.5,10,30,M,R,
,,4,Main,29,1.6672818000006373,up,0,270,down,0.07061224489795918,0.53,1.4976039000002856,2.1031427308456387,3.728403546590655,conf,0.5,10,30,M,R,
,,4,Main,30,1.6672818000006373,[],0,270,down,0.11102040816326529,None,None,None,2.4118429063546745,None,None,10,30,M,R,
,,4,Main,31,1.6672818000006373,[],0,270,down,0.23224489795918368,None,None,None,3.5161015500764075,None,None,10,30,M,R,
,,4,Main,32,1.34674189999987,down,1,270,down,0.2524489795918367,0.5,1.4412427999995998,4.207238513675128,3.209865047871552,conf,0.5,10,30,M,R,
,,4,Main,33,0.957051300000785,up,1,90,up,0.6969387755102041,0.61,2.0263309000001755,4.067678731962795,1.1809378212544082,conf,0.5,10,30,M,R,
,,4,Main,34,1.517081699999835,up,1,90,up,0.35346938775510206,0.55,2.837631700000202,2.8976347335438755,2.825228262170323,conf,0.5,10,30,M,R,
,,4,Main,35,1.6749723000002632,up,1,90,up,0.2726530612244898,0.61,2.635352100000091,2.140729590787222,2.11315657374497,conf,0.5,10,30,M,R,
,,4,Main,36,0.9351710000000821,down,1,270,down,0.5151020408163265,0.75,1.383950200000072,2.2366613183796895,1.8090689876425379,conf,0.5,10,30,M,R,
,,4,Main,37,1.5056230000000141,down,1,270,down,0.5353061224489796,0.6,1.1442618000000948,2.194751835759222,2.1835468499072497,conf,0.5,10,30,M,R,
,,4,Main,38,1.2175787000005585,up,1,90,up,0.6363265306122449,0.67,0.824811999999838,3.2100927992040207,3.237703673214426,conf,0.5,10,30,M,R,
,,4,Main,39,1.0436715000005279,up,1,90,up,0.5757142857142857,0.62,1.4740709999996398,4.905883710581212,2.5675754955232604,conf,0.5,10,30,M,R,
,,4,Main,40,1.1480388999998468,down,1,270,down,0.7171428571428571,0.6,1.2619002999999793,2.0038906032746424,2.535290223542442,conf,0.5,10,30,M,R,
,,4,Main,41,0.8145322999998825,up,1,90,up,0.5151020408163265,0.68,1.0267743000003975,3.7567087955544802,2.231121537425341,conf,0.5,10,30,M,R,
,,4,Main,42,0.8145322999998825,[],0,90,up,0.333265306122449,None,None,None,2.9095890443504877,None,None,10,30,M,R,
,,4,Main,43,1.152976899999885,up,0,270,down,0.13122448979591836,0.5,0.37519499999962136,2.1779929547197545,2.1850007430958147,conf,0.5,10,30,M,R,
,,4,Main,44,1.152976899999885,[],0,90,up,0.05040816326530612,None,None,None,3.1410860822329054,None,None,10,30,M,R,
,,4,Main,45,1.9547215000002325,down,0,90,up,0.4342857142857143,0.45,2.407898800000112,2.330296526127702,2.760762842847548,conf,0.5,10,30,M,R,
,,5,Main,0,1.9547215000002325,[],0,270,down,0.13122448979591836,None,None,None,2.4117498900652468,None,None,10,30,M,R,
,,5,Main,1,1.0331131000002642,down,1,270,down,0.333265306122449,0.63,1.28054610000072,2.7529236192732793,3.063349496863379,conf,0.5,10,30,M,R,
,,5,Main,2,1.5695740000001024,down,1,270,down,0.29285714285714287,0.63,1.459711999999854,4.945713916072402,1.7274914900579952,conf,0.5,10,30,M,R,
