thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,dotlife,SR_conf,RTrating,interval,interTrial.interval,scale,start_conf,subject,age,gender,handedness,
,,2,SC coherence,79,1.0358324999997421,down,1,270,down,0.15833333333333333,5.226019351278028,,,,,,,1000,1000,1000,1000,
,,3,Training - scale,0,0.6292081000001417,up,1,90,up,0.30000000000000004,,1,1.2265035999998872,,,,,1000,1000,1000,1000,
,,3,Training - scale,1,0.500441299999693,down,1,270,down,0.2,,0.64,0.7802852999993775,,,,,1000,1000,1000,1000,
,,3,Training - scale,2,0.5511099000004833,up,1,90,up,0.9,,0.99,1.1483537000003707,,,,,1000,1000,1000,1000,
,,3,Training - scale,3,0.8680890999994517,up,1,90,up,0.4,,1,1.2463604000004125,,,,,1000,1000,1000,1000,
,,3,Training - scale,4,0.4672679999994216,down,1,270,down,0.6,,1,1.283693599999424,,,,,1000,1000,1000,1000,
,,3,Training - scale,5,0.5005701000000045,down,1,270,down,0.5,,0.9400000000000001,1.0982877999995253,,,,,1000,1000,1000,1000,
,,3,Training - scale,6,0.4842954000005193,down,1,270,down,0.8,,0.94,1.3477167000000918,,,,,1000,1000,1000,1000,
,,3,Training - scale,7,0.5336970999996993,up,1,90,up,1.0,,0.99,1.249160899999879,,,,,1000,1000,1000,1000,
,,3,Training - scale,8,0.48449299999992945,down,0,90,up,0.1,,0.99,1.2159506999996665,,,,,1000,1000,1000,1000,
,,3,Training - scale,9,0.451675599999362,down,1,270,down,0.7000000000000001,,1,1.1817565000001196,,,,,1000,1000,1000,1000,
,,2,Main,0,1.0881766999991669,up,1,90,up,0.0535757361011939,,0.64,0.9621580000002723,4.526820034093598,3.2231488746186496,conf,0.5,1000,1000,1000,1000,
,,2,Main,1,0.5771682000004148,up,1,90,up,0.1095891782908514,,0.34,1.1137483000002248,3.465184962982216,2.3737985702267994,conf,0.5,1000,1000,1000,1000,
,,2,Main,2,0.7923799999998664,up,1,90,up,0.1669307401720554,,0.64,0.8304803999999422,4.229884746868439,3.566279882835237,conf,0.5,1000,1000,1000,1000,
,,2,Main,3,0.7685818999998446,down,1,270,down,0.25724432084879284,,0.84,1.8475563000001785,2.688291678736946,1.218628137577569,conf,0.5,1000,1000,1000,1000,
,,2,Main,4,0.7806211999995867,up,1,90,up,0.1095891782908514,,1.0,1.2818769000004977,2.716068200273434,1.6611887694146517,conf,0.5,1000,1000,1000,1000,
,,2,Main,5,1.3877346000008401,down,1,270,down,0.14025935742367593,,0.19,1.1042670999995607,4.217348006868837,2.258151781467575,conf,0.5,1000,1000,1000,1000,
,,2,Main,6,0.8248831999999311,up,1,90,up,0.14025935742367593,,0.76,2.0098017999998774,3.0996345464544275,1.8587259016884514,conf,0.5,1000,1000,1000,1000,
,,2,Main,7,1.1238787000002048,up,0,270,down,0.14025935742367593,,0.79,1.2327753999998095,2.5925482833276603,1.6116603282991324,conf,0.5,1000,1000,1000,1000,
,,2,Main,8,0.8543481999995493,up,1,90,up,0.1669307401720554,,0.96,1.1182606000002124,2.3871814255157338,2.653089837330182,conf,0.5,1000,1000,1000,1000,
,,2,Main,9,1.3487945999995645,up,0,270,down,0.1095891782908514,,0.95,2.61544799999956,2.333867051177421,1.97691188683098,conf,0.5,1000,1000,1000,1000,
,,2,Main,10,1.3487945999995645,[],0,270,down,0.1095891782908514,,None,None,None,2.3519571626281257,None,None,1000,1000,1000,1000,
,,2,Main,11,1.8283484000003227,up,1,90,up,0.1669307401720554,,0.53,2.223719699999492,4.056532371105905,2.8018543370877413,conf,0.5,1000,1000,1000,1000,
,,2,Main,12,0.8478297000001476,down,1,270,down,0.14025935742367593,,0.79,2.9196609000000535,4.149139125501213,3.07604029753788,conf,0.5,1000,1000,1000,1000,
,,2,Main,13,0.6587298999993436,down,1,270,down,0.25724432084879284,,1,1.1178032999996503,3.359126107332512,3.2842703027277516,conf,0.5,1000,1000,1000,1000,
,,2,Main,14,0.833280000000741,down,1,270,down,0.14025935742367593,,1,1.3650336000000607,4.937974333879208,3.78062520550005,conf,0.5,1000,1000,1000,1000,
,,2,Main,15,0.8865848000004917,down,1,270,down,0.14025935742367593,,None,None,2.650730330369134,2.42766214440857,conf,0.5,1000,1000,1000,1000,
,,2,Main,16,0.8556391000001895,up,1,90,up,0.1669307401720554,,0.91,1.4282210000001214,4.8298418845689,3.700411115436263,conf,0.5,1000,1000,1000,1000,
,,2,Main,17,0.733962799999972,up,1,90,up,0.0535757361011939,,0.65,0.8598540000002686,2.0240041395839072,3.0885091075198705,conf,0.5,1000,1000,1000,1000,
,,2,Main,18,0.9793818999996802,up,0,270,down,0.1095891782908514,,0.35,0.6663969999999608,4.3639903145706125,1.2525121099005303,conf,0.5,1000,1000,1000,1000,
,,2,Main,19,0.6129575999993904,up,1,90,up,0.14025935742367593,,1,1.3065852999998242,4.842999814690748,2.8120085373250263,conf,0.5,1000,1000,1000,1000,
,,2,Main,20,0.8711458999996466,down,1,270,down,0.1669307401720554,,0.3,1.019541599999684,3.636208904050179,1.9820082502263778,conf,0.5,1000,1000,1000,1000,
,,2,Main,21,0.8711458999996466,[],0,270,down,0.1095891782908514,,None,None,None,1.666999838324886,None,None,1000,1000,1000,1000,
,,2,Main,22,1.0101383999999598,down,1,270,down,0.25724432084879284,,0.82,1.0132777999997415,2.347731104161481,2.6187529304805377,conf,0.5,1000,1000,1000,1000,
,,2,Main,23,1.3979954999995243,up,1,90,up,0.1669307401720554,,0.83,1.056914499999948,4.658646512728124,2.0893417389684688,conf,0.5,1000,1000,1000,1000,
,,2,Main,24,0.6932945999997173,down,1,270,down,0.14025935742367593,,1.0,1.3987061999996513,4.079913847208083,2.269119847065114,conf,0.5,1000,1000,1000,1000,
,,2,Main,25,0.6932945999997173,[],0,270,down,0.0535757361011939,,None,None,None,3.1538426974272653,None,None,1000,1000,1000,1000,
,,2,Main,26,0.9247825000002194,up,1,90,up,0.14025935742367593,,0.62,1.216227899999467,4.060828128613403,2.917409826853393,conf,0.5,1000,1000,1000,1000,
,,2,Main,27,1.6670892000001913,up,0,270,down,0.1669307401720554,,0.5,0.7491848999998183,2.383375966024755,2.071889423451247,conf,0.5,1000,1000,1000,1000,
,,2,Main,28,1.4121775999992678,down,1,270,down,0.1095891782908514,,0.5,0.939934600000015,4.4738363567740755,3.4945774399887903,conf,0.5,1000,1000,1000,1000,
,,2,Main,29,1.4121775999992678,[],0,90,up,0.0535757361011939,,None,None,None,3.2566261181644602,None,None,1000,1000,1000,1000,
,,2,Main,30,0.8412786999997479,up,1,90,up,0.14025935742367593,,0.8,0.7973641999997199,4.0461454721142,3.547889987949422,conf,0.5,1000,1000,1000,1000,
,,2,Main,31,0.7037500000005821,up,1,90,up,0.25724432084879284,,1.0,1.3640209000004688,2.8904747468807717,2.291132031530395,conf,0.5,1000,1000,1000,1000,
