thisRow.t,notes,block,Trialtype,withinblocktrial,resp,cor,dots direction,cor_resp,coherence,RTdec,dotlife,SR_conf,interval,interTrial.interval,scale,start_conf,RTrating,sub,age,gender,handedness,
,,2,SC coherence,47,down,1,270,down,0.31666666666666665,0.9427058000001125,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,48,up,0,270,down,0.3,0.6232108999993216,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,49,up,1,90,up,0.3416666666666667,0.44375880000006873,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,50,up,1,90,up,0.31666666666666665,0.5276625000005879,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,51,down,1,270,down,0.31666666666666665,0.5470353000000614,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,52,up,1,90,up,0.3,0.8937669000006281,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,53,down,1,270,down,0.3,0.7089523999984522,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,54,up,0,270,down,0.2833333333333333,0.9700021999997261,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,55,up,1,90,up,0.31666666666666665,0.41258949999973993,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,56,up,1,90,up,0.3,0.792287900001611,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,57,up,1,90,up,0.3,0.5500803000013548,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,58,down,1,270,down,0.2833333333333333,0.5772332999986247,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,59,up,1,90,up,0.2833333333333333,0.6759146000003966,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,60,down,1,270,down,0.25833333333333336,0.5248135999991064,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,61,down,1,270,down,0.25833333333333336,0.537142600000152,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,62,down,1,270,down,0.24166666666666667,0.5446052000006603,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,63,up,1,90,up,0.21666666666666667,1.5400994999999966,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,64,down,1,270,down,0.21666666666666667,0.4940568000001804,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,65,down,0,90,up,0.2,0.5100572999999713,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,66,down,1,270,down,0.24166666666666667,0.4584498000003805,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,67,down,0,90,up,0.21666666666666667,1.2942696999998589,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,68,up,1,90,up,0.24166666666666667,0.5764478000000963,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,69,down,1,270,down,0.24166666666666667,1.3572784000007232,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,70,down,1,270,down,0.21666666666666667,0.892040900000211,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,71,down,0,90,up,0.21666666666666667,0.7768845000009605,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,72,up,1,90,up,0.6416666666666667,0.6093883000012283,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,73,down,1,270,down,0.6166666666666667,0.5588015000012092,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,74,up,1,90,up,0.24166666666666667,0.5261629999986326,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,75,down,0,90,up,0.24166666666666667,0.79271830000107,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,76,up,1,90,up,0.6166666666666667,0.5097624000009091,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,77,down,1,270,down,0.6,0.4588086999992811,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,78,up,1,90,up,0.25833333333333336,0.8270958000011888,3.18500028912677,,,,,,,14,7,7,,
,,2,SC coherence,79,down,1,270,down,0.25833333333333336,0.9281771999994817,3.18500028912677,,,,,,,14,7,7,,
,,3,Training - scale,0,down,1,270,down,0.8,0.5852166999993642,3.18500028912677,0.75,,,,,,14,7,7,,
,,3,Training - scale,1,up,1,90,up,1.0,0.5665705999999773,3.18500028912677,0.84,,,,,,14,7,7,,
,,3,Training - scale,2,down,1,270,down,0.4,1.5349996999993891,3.18500028912677,0.59,,,,,,14,7,7,,
,,3,Training - scale,3,up,1,90,up,0.30000000000000004,1.2193091999997705,3.18500028912677,0.62,,,,,,14,7,7,,
,,3,Training - scale,4,down,1,270,down,0.6,1.2350686999998288,3.18500028912677,0.81,,,,,,14,7,7,,
,,3,Training - scale,5,[],0,90,up,0.2,nan,3.18500028912677,None,,,,,,14,7,7,,
,,3,Training - scale,6,down,1,270,down,0.5,0.6452652999996644,3.18500028912677,0.79,,,,,,14,7,7,,
,,3,Training - scale,7,up,0,270,down,0.1,1.7167726999996376,3.18500028912677,0.71,,,,,,14,7,7,,
,,3,Training - scale,8,up,1,90,up,0.9,0.7994187000003876,3.18500028912677,1,,,,,,14,7,7,,
,,3,Training - scale,9,up,1,90,up,0.7000000000000001,0.6853373999983887,3.18500028912677,1.0,,,,,,14,7,7,,
